site,scale,mean_aPIE,mean_gPIE,mean_betaPIE,mean_biomass,mean_env
10,900,3.025171653,4.929923683,0.308322817,17778.82773,-1.797521062
10,1600,2.99134794,5.267663753,0.36122007,30968.62495,-1.865788425
10,2500,2.95602084,5.492846392,0.396144796,48170.55408,-1.933586405
10,3600,2.926548398,5.559794608,0.416858768,67877.54773,-1.962970193
10,4900,2.926611564,5.624503657,0.437530602,92388.88441,-1.975310779
10,6400,2.956155912,5.75706346,0.459376054,123316.6185,-1.96223296
10,8100,2.992270553,5.895748207,0.477686293,156778.6638,-1.906318726
10,10000,3.027643586,5.913978168,0.484790632,197542.5303,-1.848250364
10,12100,3.090597137,6.2172922,0.50266436,245938.1095,-1.757820939
10,14400,3.191274888,6.810502606,0.531418594,296848.0466,-1.678463779
11,400,3.070710955,4.435965429,0.254737399,9052.068758,1.046945401
11,900,3.031423543,4.930085114,0.335164245,20095.8782,1.110321756
11,1600,3.010930003,5.444302294,0.410366898,35182.07067,1.139237947
11,2500,2.978943401,5.842267835,0.471868203,54563.30838,1.160556278
11,3600,2.938559869,6.168964502,0.517348033,77747.71153,1.154534664
11,4900,2.938559869,6.418714347,0.54091147,105823.274,1.158863052
11,6400,2.978943401,6.870485355,0.565183462,139682.0695,1.164627545
11,8100,3.010930003,7.17967777,0.579482296,178109.2328,1.142372196
11,10000,3.031423543,7.267043626,0.582360793,223287.5356,1.12193921
11,12100,3.070710955,7.315665139,0.58015779,273825.0799,1.082804009
11,14400,3.114190766,7.245193776,0.570171501,331312.0872,1.066684425
12,400,2.859004404,3.913838335,0.22258921,9161.620021,0.887042723
12,900,2.789929149,4.124949971,0.279612403,20028.7989,0.897871693
12,1600,2.707845498,4.188268424,0.319148937,35617.20263,0.847844868
12,2500,2.641117751,4.16421082,0.347239439,55352.2466,0.739421254
12,3600,2.615040745,4.220743856,0.372080386,78841.27653,0.672131119
12,4900,2.615040745,4.488557968,0.410453327,107311.7375,0.630587372
12,6400,2.641117751,4.69316769,0.432000671,141701.7513,0.646399524
12,8100,2.707845498,4.947144468,0.448904487,180312.0883,0.732450501
12,10000,2.789929149,5.334759186,0.475022655,222542.21,0.776733501
12,12100,2.859004404,5.727826488,0.500166231,277139.0056,0.765730959
12,14400,2.895642637,6.173143406,0.530928986,330549.221,0.788168336
13,400,3.089234399,4.289770838,0.219036322,8465.043249,2.171218047
13,900,3.122366702,4.696688756,0.275482649,18902.57102,2.186544548
13,1600,3.144825506,5.025711869,0.328077504,33395.78845,2.159286011
13,2500,3.164693888,5.505850166,0.389656669,51297.96788,2.123379867
13,3600,3.162661909,5.937887265,0.442818453,73016.71287,2.104548262
13,4900,3.162745515,6.253306398,0.483213802,99383.85918,2.086526854
13,6400,3.164925561,6.321806438,0.490859771,131322.7978,2.104061702
13,8100,3.145698195,6.270810022,0.493136084,169066.179,2.143356844
13,10000,3.124952393,6.299571503,0.500457313,210028.5669,2.150542042
13,12100,3.09424091,6.308014441,0.507919292,256067.5583,2.134012531
13,14400,3.069141779,6.253844794,0.509239215,304367.437,2.178568542
14,400,3.594342078,5.548813074,0.300854588,8298.842255,-0.450544053
14,900,3.522031826,5.916038431,0.339294562,17775.84602,-0.558962019
14,1600,3.453563751,6.07661869,0.357987621,29962.58217,-0.614672618
14,2500,3.402135295,6.192485856,0.385663094,45816.5402,-0.673620551
14,3600,3.35845238,6.245007344,0.421503587,66306.1338,-0.726215248
14,4900,3.35851863,6.624512919,0.474451399,90250.01545,-0.755054633
14,6400,3.402056734,7.214366932,0.523145265,117290.3429,-0.751719047
14,8100,3.454121991,7.859278649,0.559949949,151685.5722,-0.724882814
14,10000,3.522974378,8.54130175,0.587365764,197509.4002,-0.658568408
14,12100,3.594804339,9.115836343,0.605585183,251039.9782,-0.511657602
14,14400,3.636486428,9.514282416,0.617786579,307697.8868,-0.390206899
15,400,3.359855738,5.033749682,0.2763525,8586.496892,0.272750494
15,900,3.355737077,5.740550252,0.346158746,19189.98591,0.100051001
15,1600,3.33807688,6.185928915,0.390786703,33623.14198,-0.034281076
15,2500,3.307245894,6.329909818,0.415260382,51349.0456,-0.171803566
15,3600,3.298365452,6.267113341,0.432199221,72920.49329,-0.264867135
15,4900,3.297357801,6.396533638,0.465616174,99252.89365,-0.302652484
15,6400,3.304895022,6.823228231,0.509628593,131453.5567,-0.264438166
15,8100,3.333548913,7.481525422,0.552958697,170217.1563,-0.188486404
15,10000,3.349747938,8.208438675,0.591686544,213222.0657,-0.089633704
15,12100,3.355252872,8.91397874,0.623592912,259741.531,0.080075727
15,14400,3.372798369,9.332592932,0.638600077,311830.5662,0.202463421
